timestamp,traffic_light_id,average_saturation,total_vehicles,average_queue_length,max_saturation,max_queue_length,vehicle_throughput,congestion_index,congestion_level
2025-05-19T14:51:52.940062,J54,0.27187500000000003,48,12.1875,0.27187500000000003,12.1875,48.0,0.4133203125,基本畅通
2025-05-19T14:52:03.044070,J54,0.2375,84,10.625,0.2375,10.625,84.0,0.398984375,基本畅通
2025-05-19T14:52:13.144001,J54,0.265625,141,11.875,0.265625,11.875,141.0,0.410703125,基本畅通
2025-05-19T14:52:23.264162,J54,0.296875,220,12.5,0.296875,12.5,220.0,0.4234375,基本畅通
2025-05-19T14:52:33.374625,J54,0.34687499999999993,300,15.9375,0.34687499999999993,15.9375,300.0,0.4447265625,基本畅通
2025-05-19T14:52:43.479196,J54,0.359375,354,17.5,0.359375,17.5,354.0,0.4503125,基本畅通
2025-05-19T14:52:53.606507,J54,0.4093749999999999,497,18.75,0.40937499999999993,18.75,496.99999999999994,0.47078124999999993,基本畅通
2025-05-19T14:53:03.733804,J54,0.45624999999999993,632,20.9375,0.45625000000000004,20.9375,632.0,0.4903515625,基本畅通
2025-05-19T14:53:13.835582,J54,0.34687500000000004,630,12.8125,0.34687500000000004,12.8125,630.0,0.4435546875,基本畅通
2025-05-19T14:53:23.978545,J54,0.290625,540,12.1875,0.2906250000000001,12.1875,540.0,0.4208203125,基本畅通
2025-05-19T14:53:34.154111,J54,0.25625000000000003,473,12.1875,0.25625,12.1875,473.0,0.40707031250000003,基本畅通
2025-05-19T14:53:44.299760,J54,0.28125000000000006,564,13.4375,0.28125000000000006,13.4375,564.0,0.4175390625,基本畅通
2025-05-19T14:53:54.443317,J54,0.22500000000000006,546,9.375,0.22500000000000003,9.375,546.0,0.39351562500000004,基本畅通
2025-05-19T14:54:04.587779,J54,0.23437500000000003,602,10.0,0.23437500000000006,10.0,602.0,0.3975,基本畅通
2025-05-19T14:54:14.719302,J54,0.27499999999999997,735,12.1875,0.27499999999999997,12.1875,735.0,0.4145703125,基本畅通
